Unnamed: 0,Unnamed: 1,Unnamed: 2,Unnamed: 3,Unnamed: 4,Unnamed: 5,Unnamed: 6,Unnamed: 7,Unnamed: 8,Unnamed: 9,Unnamed: 10,Unnamed: 11,Unnamed: 12,Unnamed: 13,Unnamed: 14,Unnamed: 15,Unnamed: 16,Unnamed: 17,Unnamed: 18,Unnamed: 19,Unnamed: 20,Unnamed: 21,Unnamed: 22,Unnamed: 23,Unnamed: 24,Unnamed: 25
,Filament,Series A,2016-01-19 00:00:00,0.775,,,,,,,,,Pantera Capital,,,,,,,,,,,,
,Filament,Series A,2015-05-13 00:00:00,5,,,,,,,,,Pantera Capital,,,,,,,,,,,,
,Findora,,2020-12-16 00:00:00,—,,,,,,,,,,,,,,,,,,,,,Polychain
,Fireblocks,Series C,2021-03-18 00:00:00,133,,,,,,,,,,,,,,,,,,Paradigm,,,
,Fireblocks,Series B,2020-11-18 00:00:00,30,,,,,,,,,,,,,,,,,,Paradigm,,,
,Firefly Exchange,,2021-09-14 00:00:00,22.8,,,,,,,,,,,,,,,,,,,,,Polychain
,Firefly Exchange,Seed,2021-03-13 00:00:00,6.4,,,,,,,,,,,,,,,,,,,,,Polychain
,Firefly Exchange,Pre Seed,2021-01-05 00:00:00,0.885,,,,,,,,,,,,,,,,,,,,,Polychain
,Flashbots,Seed,2020-01-01 00:00:00,—,,,,,,,,,,,,,,,,,,Paradigm,,,
,Flexa,ICO,2019-04-11 00:00:00,14.1,,,,,,,,,Pantera Capital,,,,,,,,,,,,
,Fluence Labs,Series A,,,,,,,,Multicoin,,,,,,,,,,,,,,,
,Founders Bank,,2019-10-02 00:00:00,10,,,,,,,,,,,,,,,,,,,,,Polychain
,Fractal,Seed,2022-04-01 00:00:00,35,,,,,,Multicoin,,,,,,,,,,,,Paradigm,,,
,Fractional,Seed,2021-08-05 00:00:00,7.9,,,,,,,,,,,,,,,,,,Paradigm,,,
,FTX Exchange,Series C,2022-01-31 00:00:00,400,,,,,,,,,,,,,,,,,,Paradigm,,,
,FTX Exchange,Series B,2021-07-20 00:00:00,900,,,,,,,,,,,,,,,,,,Paradigm,,,
,FTX US,Series A,2022-01-26 00:00:00,400,,,,,,Multicoin,,,,,,,,,,,,Paradigm,,,
,FunFair Technologies,ICO,2017-07-06 00:00:00,26,,,,,,,,,Pantera Capital,,,,,,,,,,,,
,Gauntlet,Series B,2022-03-14 00:00:00,23.8,,,,,,,,,,,,,,,,,,Paradigm,,,Polychain
,Gauntlet,,2020-09-16 00:00:00,4.4,,,,,,,,,,,,,,,,,,Paradigm,,,Polychain
,Gauntlet,Series A,2021-06-04 00:00:00,13.6,,,,,,,,,,,,,,,,,,,,,Polychain
,Gauntlet,Seed,2018-10-25 00:00:00,2.9,,,,,,,,,,,,,,,,,,,,,Polychain
,Gauntlet,Seed,2018-10-25 00:00:00,2.9,,,,,,,,,,,,,,,,,Dragonfly,,,,
,Gemini,Series A,2021-11-18 00:00:00,423.9,,,,,,,,,Pantera Capital,,,,,,,,,,,,
,Genesis Digital Assets,Private Equity Round - Genesis Digital Assets,2021-09-21 00:00:00,431,,,,,,,,,,,,,,,,,,Paradigm,,,
,Genies,Series B,2021-05-03 00:00:00,65,,,,,,,,,,,,,,,,,,,,,Polychain
,Genopets,Seed,2021-10-18 00:00:00,8.3,,,,,,,,,Pantera Capital,,,,,,,,,,,,
,Geode Finance,Seed,,,,,,,,Multicoin,,,,,,,,,,,,,,,
,Gitcoin,Venture Round - Gitcoin,2021-04-14 00:00:00,$11.3M,,,,,,,,,,,,,,,,,,Paradigm,,,
,Gliph,Seed Round - Gliph,2013-12-18 00:00:00,$340K,,,,,,,,,Pantera Capital,,,,,,,,,,,,
,GlobeDX,Seed Round - GlobeDX,2021-04-28 00:00:00,$18M,,,,,,,,,Pantera Capital,,,,,,,,,,,,
