Main,Unnamed: 1,Unnamed: 2,Unnamed: 3,Unnamed: 4,Unnamed: 5,Unnamed: 6,Unnamed: 7,Unnamed: 8,Unnamed: 9,Unnamed: 10,Unnamed: 11,Unnamed: 12,Unnamed: 13,Unnamed: 14,Unnamed: 15,Unnamed: 16,Unnamed: 17,Unnamed: 18,Unnamed: 19,Unnamed: 20,Unnamed: 21,Unnamed: 22,Unnamed: 23,Unnamed: 24,Unnamed: 25,Unnamed: 26,Unnamed: 27,Unnamed: 28,Unnamed: 29,Unnamed: 30,Unnamed: 31,Unnamed: 32,Unnamed: 33,Unnamed: 34,Unnamed: 35,Unnamed: 36,Unnamed: 37,Unnamed: 38,Unnamed: 39,Unnamed: 40,Unnamed: 41,Unnamed: 42,Unnamed: 43,Unnamed: 44
,Oxlumo,,,,,,,,,,,,,,,,,,,,,,,,,,1.248,3.0,3.0300000000000002,3.0603000000000002,3.0909030000000004,3.1218120300000005,3.1530301503000007,3.1845604518030006,3.2164060563210306,3.248570116884241,3.2810558180530833,3.313866376233614,3.3470050399959503,3.38047509039591,3.414279841299869,,0.03,25425.443574130655
,Royalty Receipts,,,,,,,,,,,,,,,,,,,,,,,,,,2538.3540000000003,2671.834,2723.8471000000004,2720.268222,2610.79163652,2527.6974243872,2476.4661862577523,2497.3533279175526,2493.7657830254784,2486.92712409667,2386.409618550611,2335.5528303766646,2320.8197407762073,2113.509497897238,935.9426448727529,,0.04,23981.425369581204
,One-Time,,,,,,,,,,,,,,,,,,,,,,,,,,70.188,559.623,,,,,,,,,,,,,,,0.05,22658.103509842338
,Total Cash-In,,,,,,,,,,,,,,,,,,,,,,,,,,2608.5420000000004,3231.457,,,,,,,,,,,,,,,0.060000000000000005,21443.26837156502
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,0.07,20326.111905131995
,Royalty,,,,,,,505.832,,,,551.682,,,,,,,,,,,,,,1959.975,2065.083,2125.096,,,,,,,,,,,,,,,0.08,19297.050536907314
,Intangibles,,,,,,,63.406,,,,1.073,,,,,,,,,,,,,,143.382,171.248,37.484,,,,,,,,,,,,,,,0.09,18347.572275962833
,Other,,,,,,,16.535,,,,20.708,,,36.857,,,,24.402,,,,,,,18.996,53.132,74.635,,,,,,,,,,,,,,,0.09999999999999999,17470.10448759262
,Revenue,,,,,,,585.7729999999999,,,,573.463,,,538.202,,,,537.267,,,,,,,2122.353,2289.463,2237.215,,,,,,,,,,,,,,,0.10999999999999999,16657.899344433183
,Change in CF,,,,,,,137.837,,,,305.061,,,241.228,,,,212.429,,,,,,,230.839,452.842,904.244,,,,,,,,,,,,,,,,
,R&D,,,,,,,90.5,,,,25.5,,,0.5,,,,0.5,,,,,,,26.289,200.084,177.106,,,,,,,,,,,,,,,,
,G&A,,,,,,,48.588,,,,50.692,,,47.634,,,,54.708,,,,,,,181.715,182.826,227.303,,,,,,,,,,,,,,,,
,Operating Expenses,,,,,,,276.925,,,,381.253,,,289.362,,,,267.637,,,,,,,438.84299999999996,835.752,1308.6529999999998,,,,,,,,,,,,,,,,
,Operating Income,,,,,,,308.8479999999999,,,,192.20999999999998,,,248.83999999999997,,,,269.63000000000005,,,,,,,1683.5100000000002,1453.7110000000002,928.5620000000004,,,,,,,,,,,,,,,,
,Interest Expense,,,,,,,-30.109999999999996,,,,-46.992,,,-46.949,,,,-47.309999999999995,,,,,,,-157.059,-166.142,-187.961,,,,,,,,,,,,,,,,
